Station Name,Station Code,Lat,Long
arakku,ARK,18.333942,82.862523
arariya,ARR,26.136453,87.411955
arjansar,AS,28.933815,73.871922
ashoknagar,ASKN,24.579712,77.727724
asaoti,AST,28.251493,77.324376
alattambadi,ATB,10.605294,79.640144
aithal,ATMO,29.807606,78.043358
attabira,ATS,21.387287,83.791201
anugrahan road,AUBR,24.855765,84.330075
avadi,AVD,13.118066,80.101165
awasani,AWS,27.162915,84.052783
aiyanapuram,AYN,10.787730,78.938637
asalpurjobner,JOB,26.900324,75.424321
adra,ADRA,23.495592,86.674285
ahmedabad,ADI,23.025119,72.601279
alipurduar junction,APDJ,26.485900,89.541571
alwar,AWR,27.559721,76.621546
amla,AMLA,21.920235,78.125403
anuppur,APR,23.117598,81.696126
asansol,ASN,23.691278,86.974787
azamgarh,AMH,26.039105,83.161672
angadippuram,AAM,10.981555,76.208746
ambur,AB,12.783590,78.721825
ambarnath,ABH,19.210144,73.184426
ambale,ABLE,18.414066,74.186878
achalganj,ACH,26.441921,80.550926
adari road,ADE,20.987406,70.330496
adhartal,ADTL,23.227919,79.972760
ateli,AEL,28.100400,76.253512
agasod,AGD,24.234149,78.217236
agartala,AGTL,23.792956,91.278539
ahmadgarh,AHH,30.683494,75.829218
adipur,AI,23.076704,70.078321
ajgain,AJ,26.617536,80.621225
ajit,AJIT,25.859762,72.677478
ajjampur,AJP,13.730951,76.010482
akbarganj,AKJ,26.532025,81.502107
akolner,AKR,18.985631,74.669137
ankleshwar junction,AKV,21.624618,73.001188
attili,AL,16.680061,81.616350
alakkudi,ALK,10.777515,79.053162
ariyalur,ALU,11.150643,79.068576
ambikarohina,AMBR,18.442319,76.944068
amravati,AMI,20.931763,77.757791
atirampattinam,AMM,10.331797,79.384894
ammuguda,AMQ,17.486215,78.527036
ammapet,AMT,10.780023,79.310875
aslana,ANA,23.860398,79.319330
ankorahakorha,ANH,24.761290,84.169886
arangmahanadi,ANMD,21.189436,81.955760
anara,ANR,23.480360,86.559291
aonla,AO,28.295924,79.169218
anupgarh,APH,29.196960,73.204573
anaparti,APT,16.935932,81.953091
amarda road,ARD,21.734068,87.102235
arand,ARN,21.102343,82.181867
arni road,ARV,12.631173,79.209215
asifabad road,ASAF,19.256775,79.416848
aslaoda,ASL,23.230820,75.607682
asarva junction,ASV,23.043837,72.612582
atarra,ATE,25.291090,80.576882
arantangi,ATQ,10.172275,79.003763
atari,ATT,31.594335,74.606813
atrauli road,AUR,28.096238,78.219413
aravankadu,AVK,11.359543,76.769668
alluru road,AXR,14.710465,79.988955
aryankavu,AYV,8.981239,77.152782
achalpur,ELP,21.277255,77.518844
anand nagar,ANDN,27.098794,83.269707
bagalkot,BGK,16.178841,75.700348
balaghat junction,BTC,21.811604,80.199839
banarhat,BNQ,26.798523,89.025729
bandra terminus,BDTS,19.062371,72.841102
bankura,BQK,23.224448,87.074685
barauni junction,BJU,25.461971,85.987476
